Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data
Category: polymer Page No: 5,polymer,"Abatron Metalfix-PH™ Aluminum-Filled, Structural Adhesive Putty; High Temperature Paste","Polymer, Adhesive, Thermoset, Epoxy, Epoxy, Cast, Metal Filled","Metalfix-PH™ is MetalFix-P™ for up to 320° F (160° C) under stress. Used when it must resist up to 320° F in operation. Superior resistance to strong solvents and other chemicals. Technical Characteristics:  A: 15 lbs/gal; B: 9.8 lbs/gal; mixing ratios: A/B: 100/8.3 pbw (100/12.6 pbv); pot life: 5-8 hours; gray. Requires heat cure: 1-12 hours at 176-302° F. The Mastershop compounds are versatile, high-impact and wear resistant, and permanent. Good adhesion to metals, ceramics, glass, wood, fiberglass, masonry, and most rigid materials. Dimensionally stable and shrink-free. Almost unlimited shelf-life. Unaffected by atmospheric conditions, salt and fresh water, alkalis, diluted acids, many solvents, oils, and greases. Withstand temperatures up to 100° C (212° F) or 160° C for the “H” versions. Cured material is easy to machine with standard tools. Can be applied in any thickness. Ample working time.",N/A,,,N/A,N/A,"[{'Hardness, Shore D': {'Metric': '83 - 87', 'English': '83 - 87', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'ColorGray': {'Descriptive Properties': 'Parts by Weight (pbw)100Part A'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7c10a1a8e85d43f9a2b3c61c658c696a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron Metalfix-P™ Aluminum-Filled, Structural Adhesive Putty; Paste","Polymer, Adhesive, Thermoset, Epoxy, Epoxy, Cast, Metal Filled","Metalfix-P™ is an aluminum-filled, structural adhesive putty. Patch, bond, resurface metal, structural components, patterns, molds, pipes, tanks, sculptures, and appliances. Forms a permanent bond with metals, ceramics, glass, fiberglass, and most materials. Technical Characteristics:  A: 15 lbs/gal; B: 8lbs/gal; mixing ratios: A/B: 9/1 pbw (5/1 pbv); pot life: 1 hour; gray; machineable; corrosion resistant; versatile “metal plastics” alloy. The Mastershop compounds are versatile, high-impact and wear resistant, and permanent. Good adhesion to metals, ceramics, glass, wood, fiberglass, masonry, and most rigid materials. Dimensionally stable and shrink-free. Almost unlimited shelf-life. Unaffected by atmospheric conditions, salt and fresh water, alkalis, diluted acids, many solvents, oils, and greases. Withstand temperatures up to 100° C (212° F) or 160° C for the “H” versions. Cured material is easy to machine with standard tools. Can be applied in any thickness. Ample working time.",N/A,,,N/A,N/A,"[{'Hardness, Shore D': {'Metric': '83 - 87', 'English': '83 - 87', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'ColorGray': {'Descriptive Properties': 'Parts by Weight (pbw)1Part B'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=123b09c8ec3640dfb9e55d9ea1eb1418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron ROCKWELD 55-27 A/B Structural Adhesive Putty; Epoxy,"Polymer, Adhesive, Thermoset, Epoxy, Epoxy Adhesive","ROCKWELD 55-27 is a 2-component epoxy system with low density, high-strength, and no shrinkage. It is a structural adhesive putty for sculpturing, repairs and restoration of stone, concrete and masonry, terracotta, and ceramics. This clay-like putty can be used to build up, model, patch, or replace shapes or parts of any structural or decorative element. Statues, architectural decorations, ornaments and mosaics can be repaired and restored using ROCKWELD. Broken stairs, railings, cracked and splitting concrete patios, floors, and walls are only a few examples of ROCKWELD applications. Tenacious adhesion to metal and wood also allows the repair of items made of different materials. The clay-like putty hardens without shrinking. It can be built up several inches thick. Thicker layers can generate too much heat that may impair final properties of the material. The new material adheres permanently to the old one. ROCKWELD can be shaped by hand because of its modeling clay consistency. It does not slump or sag when being applied to vertical surfaces. After hardening this material can be sanded by hand using coarse sandpaper (100 grit or less) or any mechanical tools such as circular or belt sanders. Tools like knives or files are not recommended because of the high abrasiveness of ROCKWELD. ROCKWELD can be primed and coated using any solvent or waterborne paint. Slight sanding is recommended, in some cases, as a surface preparation. To match the color of the object to be repaired, any dry pigment or pigment dispersion compatible with epoxy systems can be admixed to ROCKWELD. It can be blended with pebble stone, gravel, or concrete particles. It can be reinforced with inserts, rods, wires, and other reinforcing elements. ROCKWELD is chemically resistant and unaffected by atmospheric conditions and soft and salt water. ROCKWELD bonds to wet as well as dry surfaces.",N/A,,,"[{'Density': {'Metric': '1.08g/cc', 'English': '0.0390lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '80', 'English': '80', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'ColorGray': {'Descriptive Properties': 'Hardening Time (min)120-240at room temperature'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a8d90324631444018970c54025f627b3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboTar 8607-1 Solventless Tar-Epoxy Compound,"Polymer, Adhesive, Thermoset, Epoxy, Epoxy Adhesive","AboTar 8607-1 is a 2-part tar-epoxy lower cost system for filling and leveling pot holes and grossly uneven flooring. It can be used neat or with sand or aggregates. Uses:  Resurfacing concrete and masonry; Mixing with sand and gravel for grouts; Filling pot holes and cracks; Leveling severely spalled surfaces; Resurfacing driveways; Weatherproof cable embedments in floors; Structural adhesive grouts. Advantages of AboTar 8607-1: Filling Pot Holes and Gaps with a structurally tough, yet less expensive epoxy/aggregate mix; Making Concrete-Substitute Mixes where more strength than concrete is needed, and where structural pourings must be made that bond permanently where concrete cannot bond.",N/A,,,"[{'Solids Content': {'Metric': '100 %', 'English': '100 %', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '75', 'English': '75', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'Hardening Time (min)120-600at ambient temp.; faster with heating': {'Descriptive Properties': 'Induction Period (min)>= 15'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=000ad3c9ca824a1eb8091d03d7ee4b73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboTar 8101-8 Solventless Tar-Epoxy Compound,"Polymer, Adhesive, Thermoset, Epoxy, Epoxy Adhesive","AboTar 8101-8 is a 2-part tar-epoxy variable-ratio system. It is weather- and water-proof, flexible, and acid, alkali, and fuel resistant. It can be used neat or with sand or aggregates. Uses:  Resurfacing and reinforcing asphalt surfaces; Resurfacing and weatherproofing wood floors; Consolidating industrial wood-block floors; Pouring new base-surfaces on outdoor decks; Rebuilding ship deck surfaces; Pouring new air-carrier runways on decks; Pouring new commercial and industrial floors. Advantages of AboTar 8101-8:  Controllable Flexibility, as in resurfacing asphaltic or bituminous areas with a first soft layer (1 part A/2 parts B, neat or blended with aggregate), followed by harder layers; Non-Critical Ratios, for cases in which proportioning cannot be reliably controlled.",N/A,,,"[{'Solids Content': {'Metric': '100 %', 'English': '100 %', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '35', 'English': '35', 'Comments': '1/2 Ratio'}}]",N/A,N/A,N/A,N/A,[{'Hardening Time (min)120-720at ambient temp.; faster with heating': {'Descriptive Properties': 'Induction Period (min)>= 15'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=67cfb64a633a452584f8fdfd1198273f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron Epotron 5 Clear Liquid Epoxy Adhesive for Structural Bonding,"Polymer, Adhesive, Thermoset, Epoxy, Epoxy Adhesive","Epotron 5 is a clear liquid epoxy adhesive for structural bonding. It is recommended for high-strength, permanent bonding of metal, ceramic, glass, laminates, and most rigid materials. Features:  High Compressive Strength; High Tensile Strength; High Impact Resistance; Contains no VOC's or Water; Hardens Slowly; Variable Ratio; Bonds to Virtually All Rigid Surfaces; Structural; Transparent Liquid; and 2-Component. Benefits:  Tenacious Adhesion; Safe and Easy to Use; Permanent; Multiple Uses. Epotron 5 is used for bonding, laminating, and repairing virtually all rigid surfaces such as wood, stone, concrete, masonry, metal, ceramics, glass, wood, and fiberglass. It is used for repairs in factories, warehouses, office buildings, homes, and shops, both indoors and outdoors. Epotron 5 can be applied in any thickness needed, and it fully resists shrinkage. It can be applied with a brush, applicator bottle, trowel, or squeegee.",N/A,,,"[{'Density': {'Metric': '1.08g/cc', 'English': '0.0390lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '57.2MPa', 'English': '8300psi', 'Comments': 'ASTM-D638'}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '230°C', 'English': '446°F', 'Comments': 'ASTM-D2485'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'clear; thickness not quantified'}}]",N/A,[{'Impact Resistance80ASTM-D4226': {'Descriptive Properties': 'Induction Period (min)5 to 10'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=999ca800ad364abcb1b302d3ae408da5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-30 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-30 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has high heat conductivity, low thermal expansion, and negligible shrinkage.",N/A,,,N/A,N/A,N/A,"[{'Volume Resistivity': {'Metric': '4.00e+13ohm-cm', 'English': '4.00e+13ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '95.0°C', 'English': '203°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorGray or Custom'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=34c2b702962044659eb4872c0dfcf2fe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-29 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-29 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has high heat conductivity, low thermal expansion, and negligible shrinkage.",N/A,,,N/A,N/A,N/A,"[{'Dielectric Constant': {'Metric': '5.4@Frequency 60 Hz,Temperature 100 °C', 'English': '5.4@Frequency 60 Hz,Temperature 212 °F', 'Comments': None}}]",N/A,N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorGray or Custom'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=665cc79135b0487392f33d6324bb7509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-28 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-28 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has high heat conductivity, low thermal expansion, and negligible shrinkage.",N/A,,,N/A,N/A,"[{'Tensile Strength at Break': {'Metric': '49.9MPa', 'English': '7240psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '3.00e+13ohm-cm', 'English': '3.00e+13ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '126°C', 'English': '259°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorGray or Custom'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=df1ab1f0345842c2b7f8648f418e4c85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-27 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-27 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has high heat conductivity, low thermal expansion, and negligible shrinkage.",N/A,,,N/A,N/A,"[{'Tensile Strength at Break': {'Metric': '46.2MPa', 'English': '6700psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '6.00e+13ohm-cm', 'English': '6.00e+13ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '118°C', 'English': '244°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorGray or Custom'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a626a5d5e070495f82ec49851e1e6a36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-26 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-26 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has high heat conductivity, low thermal expansion, and negligible shrinkage.",N/A,,,N/A,N/A,"[{'Tensile Strength at Break': {'Metric': '75.8MPa', 'English': '11000psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '8.00e+13ohm-cm', 'English': '8.00e+13ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '150°C', 'English': '302°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorGray or Custom'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=db5a80182c28472096b9b0b584e87c12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-25 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-25 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system combines optimum physical properties and thermo shock resistance.",N/A,,,"[{'Density': {'Metric': '1.16g/cc', 'English': '0.0420lb/in³', 'Comments': 'Part A'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '71.7MPa', 'English': '10400psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.80e+15ohm-cm', 'English': '1.80e+15ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '123°C', 'English': '253°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorOpaque'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7fc0e2105d3f48c8ad593485fb6b52d9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-24 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-24 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has an exceptional combination of rigidity, heat and thermocycling resistance.",N/A,,,"[{'Density': {'Metric': '1.14g/cc', 'English': '0.0411lb/in³', 'Comments': 'Part A'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '42.1MPa', 'English': '6100psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.00e+15ohm-cm', 'English': '1.00e+15ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '163°C', 'English': '325°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorOpaque'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a3de8f19985e429fa4a506c42b7a636d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
