Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data,Collecting Strain-Life Fatigue Plot Data
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, 3.18 mm thick sheet, solution annealed at 815°C (1500°F) for 30 minutes, air cooled, aged at 480°C (900°F) for 1 hour","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength, Ultimate': {'Metric': '1824MPa', 'English': '264500psi', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2bf2f7dd8ea9420882c05a6a90aa4edb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, 3.18 mm thick sheet, solution annealed at 815°C (1500°F) for 30 minutes, air cooled, aged at 455°C (850°F) for 3 hours","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength, Ultimate': {'Metric': '1810MPa', 'English': '263000psi', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4fb0d9b46d274f68994c276974c0df4e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 6 mm sheet, tested transverse","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '493', 'English': '493', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=363136f66d6049e1bd5e67f9a8e4d64e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 150 mm square bar, tested transverse","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '489', 'English': '489', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a137af8f64a84550985f3f3bf980b286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 150 mm square bar, tested longitudinal","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '496', 'English': '496', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d8e8e85d12174a2ca35acd92d164ae44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 75 mm round bar, tested longitudinal","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '491', 'English': '491', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=647157dd8f45436d841ba7e8ff5cee54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 32 mm round bar, tested longitudinal","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '511', 'English': '511', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5d7f3a1ce92344adbb30e57676a9d81c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, Aged, 16 mm round bar, tested longitudinal","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '504', 'English': '504', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=74a7af4ca6fa425a9844038d69cba4e9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (250) Maraging Steel, nominal annealed properties","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '290', 'English': '290', 'Comments': 'Converted from Rockwell C hardness.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=21ef3da44cb0409f916f3ee6c817dc02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (200) Maraging Steel, solution annealed at 815°C (1500°F) for 1 hour, air cooled, aged at 480°C (900°F) for 3 hours","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",N/A,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength, Ultimate': {'Metric': '840MPa@Temperature 538 °C', 'English': '122000psi@Temperature 1000 °F', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=3e931ffb115d4377829c5f05e65e1643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (200) Maraging Steel, Aged, 6 mm square bar, tested in transverse direction","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",N/A,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '494', 'English': '494', 'Comments': 'estimated, based on comparison with similar maraging steels.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=135d00b05aba40568fb29f00c506575c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 5,metal,"AISI Grade 18Ni (200) Maraging Steel, Aged, 150 mm square bar, tested in transverse direction","Metal, Ferrous Metal, Alloy Steel, Low Alloy Steel, Carbon Steel, Low Carbon Steel, Maraging Steel","Applications:,  Bearings, Belleville springs, bolts, cannon recoil springs, rocket motor and missiles cases, couplings, load cells, flexures for guidance mechanisms of missiles, helicopter drive shafts, transmission shafts, fan shafts in commercial jet engines, aircraft wing components and forgings, aluminum die casting dies, cold forming dies, plastic molding dies, cores, pins, punches, and trim knees.",N/A,,,"[{'Density': {'Metric': '8.00g/cc', 'English': '0.289lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Brinell': {'Metric': '489', 'English': '489', 'Comments': 'estimated, based on comparison with similar maraging steels.'}}]","[{'Electrical Resistivity': {'Metric': '0.0000174ohm-cm', 'English': '0.0000174ohm-cm', 'Comments': 'Typical steel'}}]","[{'CTE, linear': {'Metric': '10.1µm/m-°C@Temperature 21.0 - 480 °C', 'English': '5.61µin/in-°F@Temperature 69.8 - 896 °F', 'Comments': None}}]",N/A,"[{'Aluminum, Al': {'Component Elements Properties': '0.10 %', 'Metric': '0.10 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=375c164d30d0440ab3743e35c727943f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
