Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL
CoorsTek CRB-400 Antimony-Impregnated Carbon Graphite,"Carbon, Graphite","CoorsTek combines the frictional properties of carbon graphite with antimony metal to build a high-strength, high-performance material with lubrication and thermal conductivity to dissipate heat away from seal interface.",N/A,,,"[{'Density': {'Metric': '2.30g/cc', 'English': '0.0831lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '21.4GPa', 'English': '3100ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00150ohm-cm', 'English': '0.00150ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'CTE, linear': {'Metric': '4.86µm/m-°C', 'English': '2.70µin/in-°F', 'Comments': 'ASTM-C372'}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)85': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=e3285b7bd094457293471c384bd5b969
CoorsTek CRB-100 Resin-Impregnated Carbon Graphite,"Carbon, Graphite",General purpose CoorsTek CRB-100 material contains a chemically resistant resin offering performance in a wide range of media. This resin-impregnated carbon graphite provides friction and wear properties in pressed-to-size configurations for high-volume applications.,N/A,,,"[{'Density': {'Metric': '1.80g/cc', 'English': '0.0650lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '21.4GPa', 'English': '3100ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00180ohm-cm', 'English': '0.00180ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'CTE, linear': {'Metric': '5.22µm/m-°C', 'English': '2.90µin/in-°F', 'Comments': 'ASTM-C372'}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)95': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=1fb20f663f4841bdb215718af2b5dcf7
Chosun Refractories CAR-1 Carbon Brick,Carbon,Information provided by Chosun Refractories via Korea Institute of Ceramic Engineering and Technology (KICET).,N/A,,,"[{'Bulk Density': {'Metric': '1.90g/cc', 'English': '0.0686lb/in³', 'Comments': None}}]",N/A,"[{'Compressive Strength': {'Metric': '39.2MPa', 'English': '5690psi', 'Comments': 'Cold Crushing Strength'}}]",N/A,N/A,N/A,"[{'Carbon, C': {'Component Elements Properties': '92 %', 'Metric': '92 %', 'English': None, 'Comments': None}}]",N/A,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=37c1ae2afc2d41ea8f492ff36a2d5127
CoorsTek CRB-200 Resin-Impregnated Carbon Graphite,"Carbon, Graphite","Designed for high-pressure, extreme-duty environments, CoorsTek CRB-200 material works well for mechanical seals and bearings. This low-content resin impregnated material exhibits minimal wear and very low heat generation characteristics.",N/A,,,"[{'Density': {'Metric': '1.85g/cc', 'English': '0.0668lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '22.8GPa', 'English': '3300ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00180ohm-cm', 'English': '0.00180ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'CTE, linear': {'Metric': '5.04µm/m-°C', 'English': '2.80µin/in-°F', 'Comments': 'ASTM-C372'}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)95': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=741b59a24f0041d6a85a44edb059d67d
Chosun Refractories CAR-2 Carbon Brick,Carbon,Information provided by Chosun Refractories via Korea Institute of Ceramic Engineering and Technology (KICET).,N/A,,,"[{'Bulk Density': {'Metric': '1.70g/cc', 'English': '0.0614lb/in³', 'Comments': None}}]",N/A,"[{'Compressive Strength': {'Metric': '29.4MPa', 'English': '4270psi', 'Comments': 'Cold Crushing Strength'}}]",N/A,N/A,N/A,"[{'Carbon, C': {'Component Elements Properties': '88 %', 'Metric': '88 %', 'English': None, 'Comments': None}}]",N/A,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=9552300b4d20444bb09149ec8652b016
Carlisle 201HD Carbon-Carbon Composite,Carbon,"Carbon-Carbon Composite manufactured as sheets from 4mm to 125mm thick this material is essentially a fracture tough, fiber reinforced graphite often referred to as a “CFC”.  Good for use in air to 750F (400C) and can be used to 3600F (2000C) when protected by an inert environment or vacuum.  Key attributes include thermal shock resistance, fracture toughness, corrosion resistance, electrical conductivity, temperature stability, with a very low coefficient of thermal expansion.  Machines quite well with intricate features possible for complex shapes.  Common applications include hot glass handling tooling, powdered metal sintering trays, atmosphere and vacuum furnace racks and hardware, spark plasma sintering dies, high temperature nuts, bolts, fasteners, racing brakes and clutches, sputtering targets, and components used in energy production., Information provided by Carlisle Brake & Friction.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.75g/cc', 'English': '0.0632lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength': {'Metric': '103MPa', 'English': '15000psi', 'Comments': 'in plane'}}]","[{'Electrical Resistivity': {'Metric': '0.00135ohm-cm@Temperature 17.0 °C', 'English': '0.00135ohm-cm@Temperature 62.6 °F', 'Comments': 'in plane'}}]","[{'CTE, linear': {'Metric': '1.00µm/m-°C@Temperature 23.0 - 1500 °C', 'English': '0.556µin/in-°F@Temperature 73.4 - 2730 °F', 'Comments': 'Secant Value'}}]",N/A,N/A,"[{'Hardness, \nRockwell 15X90': {'Descriptive Properties': None}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=b4d67302268c4702b8437b46111242da
Carlisle 201HL Carbon-Carbon Composite,Carbon,"Carbon-Carbon Composite manufactured as sheets from 4mm to 125mm thick this material is essentially a fracture tough, fiber reinforced graphite often referred to as a “CFC”.  Good for use in air to 750F (400C) and can be used to 3600F (2000C) when protected by an inert environment or vacuum.  Key attributes include thermal shock resistance, fracture toughness, corrosion resistance, electrical conductivity, temperature stability, with a very low coefficient of thermal expansion.  Machines quite well with intricate features possible for complex shapes.  Common applications include hot glass handling tooling, powdered metal sintering trays, atmosphere and vacuum furnace racks and hardware, spark plasma sintering dies, high temperature nuts, bolts, fasteners, racing brakes and clutches, sputtering targets, and components used in energy production., Information provided by Carlisle Brake & Friction.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.65g/cc', 'English': '0.0596lb/in³', 'Comments': None}}]",N/A,"[{'Tensile Strength': {'Metric': '68.9MPa', 'English': '10000psi', 'Comments': 'in plane'}}]","[{'Electrical Resistivity': {'Metric': '0.00240ohm-cm@Temperature 17.0 °C', 'English': '0.00240ohm-cm@Temperature 62.6 °F', 'Comments': 'in plane'}}]","[{'CTE, linear': {'Metric': '1.00µm/m-°C@Temperature 23.0 - 1500 °C', 'English': '0.556µin/in-°F@Temperature 73.4 - 2730 °F', 'Comments': 'Secant Value'}}]",N/A,N/A,"[{'Hardness, \nRockwell 15X65': {'Descriptive Properties': None}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=b780936464194d5aac04517b1496d686
Cancarb Thermax® Powder N991 Ultra-Pure Medium Thermal Carbon Black,"Carbon, Carbon Black, Other Engineering Material, Additive/Filler for Polymer","Thermal carbon black, often referred to as MT black, is unique in several ways. Along the carbon black spectrum, it has the largest particle size and among the lowest degrees of particle aggregation or structure. Since it is derived from natural gas, it is also one of the purest forms of carbon available on an industrial scale. Examples of its uses include applications in rubber, metallurgy, plastics, insulation, concrete and graphite, to name only a few.",N/A,,,"[{'Oil Absorption': {'Metric': '44 %', 'English': '44 %', 'Comments': 'ml/100g; ASTM D2414'}}]",N/A,N/A,N/A,[{'': {'Cancarb Thermax® Powder N991 Ultra-Pure Medium Thermal Carbon Black\n      \n      \n      \n    ': None}}],N/A,"[{'Sulfur, S': {'Component Elements Properties': '0.0060 %', 'Metric': '0.0060 %', 'English': None, 'Comments': None}}]",[{'Heat Loss (%)0.1ASTM D1509': {'Descriptive Properties': 'Toluene Extract (%)0.5'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=fa573ab172ea473296d728d181ca76a0
Cancarb Thermax® Powder N908 Ultra-Pure Medium Thermal Carbon Black,"Carbon, Carbon Black, Other Engineering Material, Additive/Filler for Polymer","Thermal carbon black, often referred to as MT black, is unique in several ways. Along the carbon black spectrum, it has the largest particle size and among the lowest degrees of particle aggregation or structure. Since it is derived from natural gas, it is also one of the purest forms of carbon available on an industrial scale. Examples of its uses include applications in rubber, metallurgy, plastics, insulation, concrete and graphite, to name only a few.",N/A,,,"[{'Oil Absorption': {'Metric': '44 %', 'English': '44 %', 'Comments': 'ml/100g; ASTM D2414'}}]",N/A,N/A,N/A,[{'': {'Cancarb Thermax® Powder N908 Ultra-Pure Medium Thermal Carbon Black\n      \n      \n      \n    ': None}}],N/A,"[{'Sulfur, S': {'Component Elements Properties': '0.0060 %', 'Metric': '0.0060 %', 'English': None, 'Comments': None}}]",[{'Heat Loss (%)0.1ASTM D1509': {'Descriptive Properties': 'Toluene Extract (%)0.15'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7026152499d74271a85e598fee84cc3c
Cancarb Thermax® Floform N907 Stainless Medium Carbon Black,"Carbon, Carbon Black, Other Engineering Material, Additive/Filler for Polymer","Thermal carbon black, often referred to as MT black, is unique in several ways. Along the carbon black spectrum, it has the largest particle size and among the lowest degrees of particle aggregation or structure. Since it is derived from natural gas, it is also one of the purest forms of carbon available on an industrial scale. Examples of its uses include applications in rubber, metallurgy, plastics, insulation, concrete and graphite, to name only a few.",N/A,,,"[{'Oil Absorption': {'Metric': '44 %', 'English': '44 %', 'Comments': 'ml/100g; ASTM D2414'}}]",N/A,N/A,N/A,N/A,N/A,N/A,[{'Fines Content (%)15ASTM D1508': {'Descriptive Properties': 'Heat Loss (%)0.1ASTM D1509'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2f638a7cf865449598fd905c86e97085
Cancarb Thermax® Powder N991 Medium Thermal Carbon Black,"Carbon, Carbon Black, Other Engineering Material, Additive/Filler for Polymer","Thermal carbon black, often referred to as MT black, is unique in several ways. Along the carbon black spectrum, it has the largest particle size and among the lowest degrees of particle aggregation or structure. Since it is derived from natural gas, it is also one of the purest forms of carbon available on an industrial scale. Examples of its uses include applications in rubber, metallurgy, plastics, insulation, concrete and graphite, to name only a few.",N/A,,,"[{'Oil Absorption': {'Metric': '44 %', 'English': '44 %', 'Comments': 'ml/100g; ASTM D2414'}}]",N/A,N/A,N/A,[{'': {'Cancarb Thermax® Powder N991 Medium Thermal Carbon Black\n      \n      \n      \n    ': None}}],N/A,N/A,[{'Heat Loss (%)0.1ASTM D1509': {'Descriptive Properties': 'Toluene Extract (%)0.5'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=acd844e5a671497ead6a242e849c9684
